物品,使用次数,胜率,KDA (K / D / A),金钱/分钟,经验/分钟
" 
					 	闪烁匕首 ",58,65.5%,2.92   (2.5 / 5.0 / 12.1),392,414
" 
					 	挑战头巾 ",2,0.0%,0.42   (0.5 / 6.0 / 2.0),310,355
" 
					 	玄冥盾牌 ",1,0.0%,1.20   (1.0 / 5.0 / 5.0),284,260
" 
					 	振魂石 ",1,100.0%,2.20   (1.0 / 5.0 / 10.0),436,421
" 
					 	板甲 ",8,87.5%,4.33   (2.1 / 3.0 / 10.9),399,457
" 
					 	净魂之刃 ",1,0.0%,2.43   (4.0 / 7.0 / 13.0),326,336
" 
					 	魔力法杖 ",2,0.0%,0.82   (1.5 / 5.5 / 3.0),283,304
" 
					 	极限法球 ",8,37.5%,1.87   (2.3 / 4.9 / 6.9),342,347
" 
					 	回复戒指 ",1,100.0%,9.00   (5.0 / 0.0 / 4.0),511,450
" 
					 	速度之靴 ",31,38.7%,2.25   (2.2 / 4.4 / 7.7),332,346
" 
					 	真视宝石 ",7,71.4%,5.13   (2.6 / 2.3 / 9.1),394,429
" 
					 	抗魔斗篷 ",1,0.0%,0.80   (4.0 / 5.0 / 0.0),397,492
" 
					 	奶酪 ",1,100.0%,1.67   (2.0 / 6.0 / 8.0),419,430
" 
					 	魔棒 ",20,55.0%,2.14   (2.0 / 4.4 / 7.5),363,373
" 
					 	魔杖 ",41,56.1%,2.44   (1.9 / 5.3 / 11.0),383,403
" 
					 	幽魂权杖 ",2,50.0%,3.29   (2.5 / 3.5 / 9.0),319,359
" 
					 	显影之尘 ",1,0.0%,1.50   (3.0 / 6.0 / 6.0),307,360
" 
					 	魔瓶 ",4,0.0%,0.44   (1.0 / 4.5 / 1.0),291,354
" 
					 	岗哨守卫 ",2,0.0%,1.20   (1.5 / 5.0 / 4.5),280,309
" 
					 	回城卷轴 ",38,36.8%,2.13   (2.4 / 5.6 / 9.6),354,380
" 
					 	远行鞋 ",5,100.0%,4.89   (3.2 / 3.6 / 14.4),424,490
" 
					 	灵魂之戒 ",70,55.7%,2.39   (2.0 / 4.9 / 9.8),377,390
" 
					 	奥术鞋 ",19,31.6%,2.01   (2.3 / 4.5 / 6.7),352,364
" 
					 	圆盾 ",9,33.3%,2.05   (1.2 / 4.6 / 8.1),347,355
" 
					 	虚无宝石 ",1,0.0%,0.40   (0.0 / 5.0 / 2.0),306,372
" 
					 	诡计之雾 ",2,50.0%,1.27   (0.5 / 5.5 / 6.5),318,351
" 
					 	梅肯斯姆 ",57,40.4%,2.31   (2.2 / 4.4 / 8.0),346,366
" 
					 	弗拉迪米尔的祭品 ",5,80.0%,2.84   (1.4 / 5.0 / 12.8),356,345
" 
					 	天堂之戟 ",1,100.0%,21.00   (4.0 / 1.0 / 17.0),481,445
" 
					 	静谧之鞋 ",9,44.4%,2.15   (2.6 / 5.3 / 8.9),366,420
" 
					 	洞察烟斗 ",13,84.6%,3.48   (2.3 / 3.5 / 10.0),400,420
" 
					 	影之灵龛 ",1,100.0%,1.25   (2.0 / 4.0 / 3.0),359,355
" 
					 	恢复头巾 ",1,0.0%,1.20   (1.0 / 5.0 / 5.0),284,260
" 
					 	邪恶镰刀 ",12,75.0%,3.32   (3.4 / 5.7 / 15.4),381,424
" 
					 	清莲宝珠 ",1,100.0%,3.43   (2.0 / 7.0 / 22.0),367,403
" 
					 	炎阳纹章 ",2,0.0%,2.18   (1.5 / 5.5 / 10.5),343,286
" 
					 	原力法杖 ",16,37.5%,2.37   (2.9 / 4.9 / 8.7),342,364
" 
					 	卫士胫甲 ",34,76.5%,2.89   (2.3 / 5.3 / 13.0),413,427
" 
					 	精气之球 ",4,75.0%,5.07   (2.3 / 3.5 / 15.5),378,483
" 
					 	刷新球 ",4,100.0%,7.22   (3.3 / 2.3 / 13.0),462,530
" 
					 	黑皇杖 ",15,60.0%,3.07   (3.4 / 4.7 / 10.9),376,400
" 
					 	希瓦的守护 ",11,90.9%,4.19   (3.7 / 3.9 / 12.6),452,490
" 
					 	先锋盾 ",4,75.0%,8.00   (4.3 / 1.5 / 7.8),440,453
" 
					 	微光披风 ",3,66.7%,2.92   (2.0 / 4.3 / 10.7),373,356
" 
					 	食人魔之斧 ",4,25.0%,1.89   (2.8 / 7.0 / 10.5),346,388
