物品,使用次数,胜率,KDA (K / D / A),金钱/分钟,经验/分钟
" 
					 	闪烁匕首 ",370,60.5%,2.64   (3.4 / 5.3 / 10.7),372,405
" 
					 	秘银锤 ",6,0.0%,0.85   (1.5 / 8.0 / 5.3),358,337
" 
					 	板甲 ",46,67.4%,2.58   (3.6 / 5.6 / 10.7),376,405
" 
					 	短棍 ",1,100.0%,1.83   (1.0 / 6.0 / 10.0),352,340
" 
					 	压制之刃 ",26,46.2%,2.06   (2.0 / 5.3 / 9.0),383,406
" 
					 	守护指环 ",1,0.0%,0.33   (0.0 / 6.0 / 2.0),246,238
" 
					 	力量手套 ",1,0.0%,0.55   (2.0 / 11.0 / 4.0),342,326
" 
					 	铁树枝干 ",23,43.5%,1.37   (1.2 / 4.6 / 5.0),285,269
" 
					 	力量腰带 ",5,40.0%,1.57   (1.4 / 4.6 / 5.8),252,283
" 
					 	精灵布带 ",1,0.0%,0.25   (0.0 / 8.0 / 2.0),188,211
" 
					 	圆环 ",3,66.7%,2.00   (0.7 / 2.7 / 4.7),352,299
" 
					 	食人魔之斧 ",64,35.9%,1.77   (2.0 / 5.3 / 7.4),323,342
" 
					 	欢欣之刃 ",1,0.0%,0.57   (1.0 / 7.0 / 3.0),391,361
" 
					 	魔力法杖 ",17,23.5%,1.18   (1.8 / 5.6 / 4.8),294,297
" 
					 	极限法球 ",29,51.7%,2.45   (3.4 / 5.3 / 9.7),374,386
" 
					 	加速手套 ",4,25.0%,0.91   (0.3 / 5.5 / 4.8),283,288
" 
					 	吸血面具 ",6,33.3%,1.51   (5.0 / 7.8 / 6.8),402,435
" 
					 	回复戒指 ",6,50.0%,2.04   (3.0 / 4.3 / 5.8),379,385
" 
					 	贤者面罩 ",1,100.0%,6.00   (3.0 / 3.0 / 15.0),374,397
" 
					 	速度之靴 ",139,47.5%,2.07   (2.4 / 5.3 / 8.5),320,335
" 
					 	真视宝石 ",85,90.6%,4.11   (3.4 / 3.7 / 11.8),384,425
" 
					 	抗魔斗篷 ",25,48.0%,1.78   (3.2 / 5.2 / 6.1),369,384
" 
					 	闪避护符 ",2,50.0%,3.17   (6.5 / 6.0 / 12.5),433,463
" 
					 	奶酪 ",14,78.6%,3.01   (5.6 / 5.5 / 11.0),422,461
" 
					 	魔棒 ",191,52.9%,2.21   (2.8 / 4.7 / 7.8),341,357
" 
					 	魔杖 ",328,55.2%,2.46   (3.0 / 5.3 / 10.0),341,371
" 
					 	幽魂权杖 ",42,50.0%,2.26   (3.5 / 6.5 / 11.2),328,373
" 
					 	净化药水 ",1,100.0%,4.25   (3.0 / 4.0 / 14.0),412,410
" 
					 	治疗药膏 ",4,75.0%,7.00   (0.3 / 0.3 / 1.5),217,82
" 
					 	显影之尘 ",24,33.3%,1.61   (3.0 / 6.1 / 6.8),297,323
" 
					 	魔瓶 ",122,54.1%,2.30   (3.1 / 4.9 / 8.2),346,368
" 
					 	侦查守卫 ",1,0.0%,0.50   (1.0 / 8.0 / 3.0),252,220
" 
					 	岗哨守卫 ",11,18.2%,1.50   (2.5 / 7.3 / 8.4),295,300
" 
					 	树之祭祀 ",7,42.9%,1.32   (1.0 / 2.7 / 2.6),274,256
" 
					 	回城卷轴 ",390,45.1%,2.14   (2.8 / 5.3 / 8.7),346,364
" 
					 	远行鞋 ",84,82.1%,3.80   (5.7 / 4.9 / 12.8),472,501
" 
					 	相位鞋 ",77,63.6%,2.87   (3.9 / 4.4 / 8.7),444,430
" 
					 	恶魔刀锋 ",4,75.0%,2.95   (4.8 / 5.0 / 10.0),487,491
" 
					 	鹰歌弓 ",2,50.0%,1.38   (2.5 / 4.0 / 3.0),405,478
" 
					 	掠夺者之斧 ",3,33.3%,2.43   (5.3 / 4.7 / 6.0),338,349
" 
					 	振奋宝石 ",11,81.8%,4.26   (4.9 / 4.3 / 13.3),442,485
" 
					 	治疗指环 ",2,50.0%,1.78   (4.0 / 4.5 / 4.0),382,303
" 
					 	虚无宝石 ",5,60.0%,2.14   (1.4 / 4.2 / 7.6),348,375
" 
					 	神秘法杖 ",3,100.0%,5.00   (5.0 / 4.0 / 15.0),393,477
" 
					 	能量之球 ",1,100.0%,3.14   (6.0 / 7.0 / 16.0),341,433
" 
					 	精气之球 ",43,72.1%,2.73   (2.7 / 4.1 / 8.5),349,356
" 
					 	活力之球 ",7,42.9%,2.97   (3.9 / 4.6 / 9.7),371,412
" 
					 	动力鞋 ",199,57.8%,2.65   (4.0 / 5.2 / 9.6),399,423
" 
					 	迈达斯之手 ",108,60.2%,2.69   (3.8 / 5.1 / 10.1),472,464
" 
					 	空明杖 ",14,42.9%,2.25   (2.4 / 4.6 / 8.1),332,366
" 
					 	坚韧球 ",7,71.4%,2.54   (3.4 / 5.3 / 10.0),353,370
" 
					 	穷鬼盾 ",4,75.0%,2.45   (1.8 / 2.8 / 5.0),362,412
" 
					 	护腕 ",40,47.5%,1.68   (2.2 / 5.4 / 7.0),305,329
" 
					 	怨灵系带 ",4,25.0%,0.89   (1.5 / 6.8 / 4.5),367,391
" 
					 	空灵挂件 ",3,33.3%,1.77   (3.7 / 4.3 / 4.0),320,337
" 
					 	梅肯斯姆 ",210,53.3%,2.48   (2.7 / 4.6 / 8.8),361,375
" 
					 	弗拉迪米尔的祭品 ",41,63.4%,2.53   (3.5 / 5.8 / 11.1),380,406
" 
					 	玄冥盾牌 ",3,0.0%,0.92   (1.7 / 4.3 / 2.3),256,255
" 
					 	王者之戒 ",8,50.0%,2.06   (1.8 / 4.1 / 6.8),383,375
" 
					 	洞察烟斗 ",40,85.0%,4.01   (2.8 / 3.4 / 11.0),374,397
" 
					 	影之灵龛 ",90,56.7%,2.53   (3.7 / 5.4 / 10.0),326,359
" 
					 	恢复头巾 ",4,25.0%,1.23   (1.5 / 3.3 / 2.5),234,234
" 
					 	邪恶镰刀 ",53,75.5%,3.31   (4.2 / 5.3 / 13.2),463,472
" 
					 	紫怨 ",12,58.3%,3.09   (3.3 / 3.9 / 8.8),435,448
" 
					 	Eul的神圣法杖 ",16,68.8%,3.38   (4.4 / 5.1 / 12.9),384,453
" 
					 	recipe_force_staff ",1,0.0%,0.75   (2.0 / 8.0 / 4.0),208,222
