物品,使用次数,胜率,KDA (K / D / A),金钱/分钟,经验/分钟
" 
					 	闪烁匕首 ",214,65.9%,3.05   (7.8 / 6.9 / 13.3),506,527
" 
					 	锁子甲 ",3,0.0%,1.71   (2.7 / 5.7 / 7.0),473,455
" 
					 	铁意头盔 ",1,0.0%,0.82   (2.0 / 11.0 / 7.0),364,327
" 
					 	标枪 ",1,0.0%,3.00   (10.0 / 8.0 / 14.0),569,526
" 
					 	秘银锤 ",1,0.0%,2.50   (10.0 / 6.0 / 5.0),447,564
" 
					 	板甲 ",13,30.8%,2.23   (5.5 / 7.8 / 11.9),433,448
" 
					 	压制之刃 ",49,36.7%,1.74   (3.9 / 6.9 / 8.1),503,478
" 
					 	力量手套 ",6,50.0%,1.29   (4.5 / 7.0 / 4.5),373,296
" 
					 	铁树枝干 ",9,22.2%,1.00   (0.9 / 3.7 / 2.8),294,288
" 
					 	力量腰带 ",2,50.0%,1.15   (2.0 / 6.5 / 5.5),350,386
" 
					 	精灵布带 ",1,0.0%,1.50   (1.0 / 4.0 / 5.0),281,293
" 
					 	法师长袍 ",3,0.0%,1.03   (3.7 / 10.3 / 7.0),303,298
" 
					 	圆环 ",2,50.0%,1.09   (1.5 / 5.5 / 4.5),385,299
" 
					 	食人魔之斧 ",15,40.0%,2.00   (4.5 / 7.3 / 10.1),433,400
" 
					 	欢欣之刃 ",2,50.0%,1.73   (3.5 / 5.5 / 6.0),647,489
" 
					 	魔力法杖 ",3,66.7%,1.94   (3.0 / 6.0 / 8.7),363,332
" 
					 	极限法球 ",12,25.0%,2.52   (8.4 / 7.0 / 9.3),506,581
" 
					 	加速手套 ",1,0.0%,1.00   (1.0 / 3.0 / 2.0),207,232
" 
					 	吸血面具 ",2,50.0%,1.00   (5.5 / 12.5 / 7.0),415,372
" 
					 	回复戒指 ",1,100.0%,24.00   (6.0 / 1.0 / 18.0),601,481
" 
					 	贤者面罩 ",2,0.0%,1.30   (2.0 / 5.0 / 4.5),294,273
" 
					 	速度之靴 ",29,37.9%,1.75   (3.3 / 6.3 / 7.8),410,402
" 
					 	真视宝石 ",6,100.0%,3.35   (4.8 / 6.2 / 15.8),445,423
" 
					 	抗魔斗篷 ",10,10.0%,1.02   (2.6 / 9.6 / 7.2),335,339
" 
					 	闪避护符 ",3,33.3%,2.77   (9.7 / 8.7 / 14.3),526,557
" 
					 	奶酪 ",6,83.3%,3.57   (9.2 / 7.8 / 18.8),542,620
" 
					 	魔棒 ",38,65.8%,2.58   (3.6 / 5.0 / 9.4),395,375
" 
					 	魔杖 ",98,40.8%,1.81   (4.4 / 7.7 / 9.5),405,402
" 
					 	幽魂权杖 ",17,47.1%,2.37   (7.3 / 9.2 / 14.4),435,494
" 
					 	净化药水 ",3,33.3%,1.50   (3.7 / 4.7 / 3.3),396,359
" 
					 	治疗药膏 ",1,100.0%,8.00   (0.0 / 0.0 / 8.0),356,294
" 
					 	显影之尘 ",7,28.6%,1.59   (2.9 / 7.3 / 8.7),291,257
" 
					 	魔瓶 ",79,41.8%,2.57   (7.0 / 6.7 / 10.3),478,501
" 
					 	侦查守卫 ",2,0.0%,1.43   (3.0 / 7.0 / 7.0),332,409
" 
					 	岗哨守卫 ",4,0.0%,1.21   (3.5 / 8.5 / 6.8),295,314
" 
					 	树之祭祀 ",6,33.3%,1.09   (1.0 / 3.8 / 3.2),318,279
" 
					 	回城卷轴 ",146,26.7%,1.77   (4.3 / 7.2 / 8.3),410,415
" 
					 	远行鞋 ",130,71.5%,3.36   (9.8 / 7.1 / 14.1),637,597
" 
					 	相位鞋 ",112,48.2%,2.55   (7.0 / 6.9 / 10.6),501,505
" 
					 	恶魔刀锋 ",1,0.0%,2.00   (6.0 / 5.0 / 4.0),463,455
" 
					 	鹰歌弓 ",1,100.0%,3.20   (1.0 / 5.0 / 15.0),568,573
" 
					 	振奋宝石 ",4,50.0%,2.65   (6.3 / 6.5 / 11.0),486,508
" 
					 	治疗指环 ",2,0.0%,0.81   (3.0 / 8.0 / 3.5),323,326
" 
					 	虚无宝石 ",3,66.7%,3.45   (8.0 / 6.7 / 15.0),444,523
" 
					 	神秘法杖 ",1,100.0%,3.60   (4.0 / 5.0 / 14.0),570,468
" 
					 	能量之球 ",1,100.0%,6.25   (11.0 / 4.0 / 14.0),529,489
" 
					 	精气之球 ",16,56.3%,2.40   (4.0 / 5.9 / 10.3),418,410
" 
					 	活力之球 ",5,60.0%,3.31   (4.8 / 5.2 / 12.4),481,492
" 
					 	动力鞋 ",153,43.1%,2.46   (7.1 / 7.2 / 10.5),489,514
" 
					 	迈达斯之手 ",60,45.0%,2.35   (6.2 / 7.2 / 10.6),485,498
" 
					 	空明杖 ",3,0.0%,1.64   (5.7 / 7.3 / 6.3),374,428
" 
					 	坚韧球 ",3,66.7%,5.11   (6.7 / 3.0 / 8.7),473,433
" 
					 	穷鬼盾 ",19,31.6%,1.95   (3.2 / 6.0 / 8.5),498,436
" 
					 	护腕 ",17,47.1%,1.71   (2.8 / 6.1 / 7.6),376,338
" 
					 	怨灵系带 ",3,0.0%,0.95   (0.7 / 6.7 / 5.7),321,314
" 
					 	空灵挂件 ",9,22.2%,0.88   (2.0 / 8.4 / 5.4),334,325
" 
					 	梅肯斯姆 ",44,56.8%,2.86   (4.5 / 5.4 / 11.0),469,456
" 
					 	弗拉迪米尔的祭品 ",26,76.9%,3.16   (5.8 / 6.0 / 13.0),493,495
" 
					 	玄冥盾牌 ",2,0.0%,0.55   (1.5 / 10.0 / 4.0),296,305
" 
					 	王者之戒 ",9,66.7%,2.27   (3.3 / 5.4 / 9.0),467,386
" 
					 	洞察烟斗 ",12,75.0%,2.61   (5.0 / 6.4 / 11.8),458,436
" 
					 	影之灵龛 ",39,51.3%,2.24   (5.1 / 8.4 / 13.7),387,410
" 
					 	恢复头巾 ",3,0.0%,0.58   (1.7 / 8.0 / 3.0),312,303
" 
					 	邪恶镰刀 ",31,51.6%,3.13   (11.2 / 7.7 / 13.1),555,567
" 
					 	紫怨 ",28,39.3%,2.93   (10.7 / 7.7 / 11.8),549,575
" 
					 	Eul的神圣法杖 ",28,64.3%,3.13   (7.8 / 7.3 / 14.9),478,507
" 
					 	原力法杖 ",54,63.0%,2.55   (5.4 / 7.4 / 13.4),405,447
